name,address,icon,userComment,rating,tags,photos
"Vi Cool","Calle de las Huertas, 12, 28012 Madrid, Espagne","restaurant","Excellent ! Menu à 15 euros tres copieux et tres bon! Je reco +++ ","4.5","À essayer#Ambiance#Amis#Authentique#Specialites locales#Restaurant",""
"Cava Baja 17","Calle de la Cava Baja, 17, 28005 Madrid (Madrid), España","restaurant","Bar à tapas dans le quartier latinas ! Tres bon ! Je recommande ","4.5","Cadre sympa#Carpe diem#Authentique#Amis#À essayer#Specialites locales#Tapas",""
"Makkila","Calle de Fernando VI, 2, 28004 Madrid, Espagne","restaurant","Local et fancy ! Nourriture tres bon ! On valide ++ Pas loin de la chueca ","4.5","À essayer#Ambiance#Amis#Authentique#Restaurant#Specialites locales",""
"Specia Atellier Bar","Calle Prado del Rey, 28223 Pozuelo de Alarcón (Madrid), España","wine","Bar à cocktail dans le quartier de la chueca ! On adore ambiance incroyable et super musique ! Excellents cocktails","4.5","Bar#Authentique#Amis#Ambiance#À essayer",""
"Circo de las Tapas","Calle Corredera Baja de San Pablo, 21, 28004 Madrid, Espagne","restaurant","Bar à tapas avec decos tres atypiques et sympas ","4","À essayer#Tapas#Specialites locales#Restaurant#Carpe diem#Authentique#Amis#Ambiance",""
"Misión Café","Calle de los Reyes, 5, 28015 Madrid, Espagne","cafe","Cafe ! Tres bon et super sympa ","4.5","Cafe#Cadre sympa",""
"Ojalá","Calle de San Andrés, 1, 28004 Madrid, Espagne","nightclub","Tres bon et fancy ! Brunch possible et delicieux ","4","À essayer#Ambiance#Amis#Authentique#Brunch#Carpe diem#Fancy#Pas cher#Mexicain#Restaurant",""
"Bazurto","5 Rue de l'Ancienne Comédie, 75006 Paris, France","restaurant","Restaurant colombien de juan arbelaez.  2 types de menu à 59 euros ou 79 euros 
Empanadas très bonnes 

Plat au choix cuit à la braise : poulpe ++
Dessert tiramisu au rhum colombien : délice et original car sucré et salé 

Petit tips se transforme en bar festif avec DJ des 23h ","4","À essayer#Ambiance#Amis#Authentique#Colombien#Carpe diem#Cadre sympa#Cocktails#Restaurant#Wine#Festif",""
"Mamacita","14 Rue Rougemont, 75009 Paris, France","restaurant","Resto mexicain près de Grands Boulevards ! Très bonne nourriture ! Resto à ambiance en fin de semaine ! Loca loca ","4","À essayer#Ambiance#Amis#Authentique#Mexicain#Carpe diem#Fancy#Restaurant",""
"Les Bons Vivants","5 Rue Longue, 69001 Lyon, France","restaurant","Resto typique du bon vivant ! Resto de viandes++ tres bon! Cuisine classique tres bonne 
","4","Amis#À essayer#Ambiance#Carpe diem#Excellent#Viandes#Wine",""
"Kiwa Cafe","3 Quai Antoine Riboud, 69002 Lyon, France","restaurant","Cafe coréen adorable et délicieux face à la saone  ! ","4","À essayer#Amis#Authentique#Cafe#Cadre sympa",""
"Pignouf","22 Rue Chevreul, 69007 Lyon, France","restaurant","Buns sandwich tres sympas et bons ! Cela
Fait aussi bar","4.5","À essayer#Ambiance#Authentique#Cadre sympa#Bar",""
"skepsi","35 Rue Chevreul, 69007 Lyon, France","generic","Tres bon grec : possibilité de prendre à emporter ","4.5","À essayer#Greek#Excellent",""
"Mamine Batignolles","19 Rue des Dames, 75017 Paris, France","restaurant","","","Sans reservation#À essayer",""
"A l'Angle","2 Rue Poissonnière, 75002 Paris, France","restaurant","Bar idéal pour privatisation ( près de Grands Boulevards) pas de caution et sous sol entièrement privatif ","4","Bar#Authentique#Carpe diem",""
"Chez Minnà","20 Rue d'Hauteville, 75010 Paris, France","restaurant","Restaurant corse pres de bonne nouvelle ! Tres tres bon et ambiance super sympa! ","4.5","Amis#Authentique#Bar#Corse#À essayer#Ambiance#Carpe diem#Excellent#Restaurant",""
"SABLES","35 BIS Rue Jean de la Fontaine, 75016 Paris, France","restaurant","","","Sans reservation#À essayer#Bistrot",""
"Le Standard","1 Boulevard du Montparnasse, 75006 Paris, France","restaurant","Bar très sympa et très joli décor ! ","3.5","Authentique#Bar#Carpe diem#Cadre sympa#Cocktails#Fancy",""
"Sunday In Soho","7 Rue Saint-Marc, 75002 Paris, France","cafe","Tres bon brunch excellent : formule à 29 e un plat sucre et un plat sale et une boisson chaude et une boisson froide! Reservable ! Recommande ++ ","5","À essayer#Cadre sympa#Brunch#Cafe#Carpe diem",""
"Café Ella","85 Rue de la Convention, 75015 Paris, France","restaurant","Brunch à tester ","","Sans reservation#À essayer#Brunch",""
"Je Thè... Me","4 Rue d'Alleray, 75015 Paris, France","restaurant","Resto tres bon avec une ambiance superbe et bistrot dans le 15 eme ! Dans une ancienne épicerie ! Plats type bistrot mais vraiment un delice ! Une ambiance tres conviviale avec un propriétaire  haut en couleur passionne !

Un peu cher ","4.5","Ambiance#Amis#Authentique#Bistrot#Carpe diem#Cadre sympa#Restaurant#Wine",""
"Restaurant Biscotte","22 Rue Desnouettes, 75015 Paris, France","restaurant","","","Sans reservation#À essayer",""
"Les Pères Siffleurs","15 Rue Gerbert, 75015 Paris, France","restaurant","Bistronomique dans le 15 eme recommandé ++ à tester avec carte qui change selon les arrivages et bonnes cartes de vin ! Petit + digestif offert à la fin","","À essayer#Authentique#Amis#Ambiance#Bistrot#Bistronomique",""
"Jungle palace","12 Rue de la Fidélité, 75010 Paris, France","restaurant","Resto ephemera : si vous souhaitez voyager et prendre un bol d’air frais : direction la jungle !! Resto à theme jungle tres sympa et decor tres chouette ! Nourriture bonne mais sans plus ! Y aller pour le concept ! Réserver ++ ","4","Ambiance#Amis#Cadre sympa#Carpe diem#Cocktails#Fancy#Restaurant#Original#Resto à theme",""
"Arbela 92","3 Rue d'Aguesseau, 92100 Boulogne-Billancourt, France","restaurant","Bar à tapas Laury thileman ","","Sans reservation#Bar à vin#À essayer",""
"Tonton Foch","4 Boulevard du Maréchal Foch, 49100 Angers, France","cafe","Brunch correct mais sans plus ","2.5","Brunch#Carpe diem",""
"La Chouette","7 Place du Ralliement, 49100 Angers, France","generic","Cafe tres sympa avec un joli decor mais service qui laisse à desirer ","3","Authentique#Bar#Cafe",""
"Podium Bistrot Disco","2 Rue Linois, 75015 Paris, France","restaurant","Bistrot tres sympa à cote de beaugrenelle ! Menu à 40 e ( entree plat dessert) tres copieux et delicieux !! Resto qui au 2 eme service devient un bar dansant au theme disco ! Si vous aimez abba et mylene farmer : ideal pour vous!! Theme disco++ ! Ferme à 2 h ! Resto de Glen Viel présent le lundi et mardi : amateurs de top chef allez y ","4","À essayer#Ambiance#Bistrot#Fancy#Excellent#Carpe diem#Restaurant",""
"Mamie Fada","18 Quai des Carmes, 49100 Angers, France","restaurant","Super resto, service au top !  cocktail ++ et super plats je reco ++ ","4.5","Bar à vin#À essayer#Amis#Authentique#Carpe diem",""
"Crêperie Du Château","21 Rue Saint-Aignan, 49100 Angers, France","restaurant","Tres bonne creperie à cote du chateau ","4","Crepes#Excellent",""
"Chez Marguerite","7 Rue Pocquet de Livonnières, 49100 Angers, France","restaurant","Salon de the avec pâtisseries excellentes avec un chocolat chaud exquis! A y aller pour un petit plaisir sucre ","4.5","Cafe#Excellent#Fancy#Salon de the",""
"Café Bohème","19 Boulevard Edgar Quinet, 75014 Paris, France","restaurant","Bar sympa et cocktails aussi ! ","3.5","Amis#Authentique#Ambiance#Bar#Cadre sympa",""
"Neuvième Cru","20 Rue Richer, 75009 Paris, France","restaurant","Resto italien ! Raffiné et ambiance cosy ! À réserver ++ ","","Sans reservation#À essayer#Italien",""
"Cantinella","30 Rue du Faubourg Saint-Jacques, 75014 Paris, France","restaurant","Italien dans le 14 eme ","","Sans reservation#À essayer",""
"Under The Sea Restaurant - Ephemera","1 Rue du 4 Septembre, Issy-les-Moulineaux 92130","restaurant","Ephemera : resto immersif océan ! Univers tres sympa et nourriture pas mal ! Que du poisson en plat ! A cote de la BNF! ","3.5","À essayer#Ambiance#Cadre sympa#Carpe diem#Fancy#Fruits de mer",""
"Stellar - Ephemera","45 Rue Saint-Sébastien, Paris 75011","restaurant","Plus sympa à regarder (ephemera thème espace) et excellents decors mais nourriture vraiment pas folle … je ne conseille que pour les influenceurs 🥹 ","2","Cadre sympa#Restaurant#Resto à theme",""
"Caves Saint-Gilles","4 Rue Saint-Gilles, 75003 Paris, France","restaurant","Bar a tapas dans le 3 eme ","","Sans reservation#À essayer",""
"BRASSERIE ROSIE LOU","31 Boulevard de Bonne Nouvelle, 75002 Paris, France","restaurant","Brasserie tres sympa style biarritz ( la petite soeur de brasserie lou) ! Coquillettes à la truffe un délice !! Située à bonne nouvelle ( à cote des théâtres) ","4.5","À essayer#Restaurant#Ambiance#Amis#Authentique#Brasserie#Carpe diem#Cadre sympa",""
"Partage Brasserie","79 Rue Didot, 75014 Paris, France","restaurant","Le midi ++ avec plat dessert à 20 euros ou formule entree plat desserrt à 26 e 

Vraiment tres tres bon ! Brasserie délicieuse avec produits locaux !! A y aller sans hesiter  ","5","Carpe diem#Brasserie#Amis#Authentique#Bistrot#Excellent#Restaurant#Péruvien#Pas cher",""
"L'Entrepôt","7 Rue Francis de Pressensé, 75014 Paris, France","restaurant","","","Sans reservation#À essayer",""
"Marrow","128 Rue du Faubourg Saint-Martin, 75010 Paris, France","restaurant","","","Sans reservation#À essayer",""
"Papy aux Fourneaux","70 Rue de l'Ouest, 75014 Paris, France","restaurant","Restaurant au concept très friendly : plats français à partager dans des marmites ! Idée de repas de famille le dimanche ! Très bon et ambiance conviviale ! Endroit animé ! Good vibes  ","4","À essayer#Amis#Authentique#Brasserie#Cadre sympa#Carpe diem#French cook#French cook#Parfait pour l’hiver ou pluie#Restaurant",""
"HuThoPi","53 Rue de Charenton, 75012 Paris, France","restaurant","Note 5✨","","Sans reservation#À essayer",""
"le petit atelier","21 Rue du Change, 37000 Tours, France","generic","Coffee shop place château neuf ","4.5","Cafe#Cadre sympa",""
"La Taverne de Zhao","16 Rue Saint-Augustin, 75002 Paris, France","restaurant","Nouilles incroyables : pas de réservation possible ","","Sans reservation#À essayer#Authentique",""
"Caillebotte","8 Rue Hippolyte Lebas, 75009 Paris, France","restaurant","","","Sans reservation#Carpe diem#Brasserie",""
"Coretta","151 bis Rue Cardinet, 75017 Paris, France","restaurant","","","Sans reservation#À essayer",""
"Andia","19 Chaussée de la Muette, 75016 Paris, France","restaurant","","","Sans reservation#Ambiance",""
"Plantxa","58 Rue Gallieni, 92100 Boulogne-Billancourt, France","restaurant","Resto de juan Arbelaez","","Sans reservation#Ambiance#À essayer",""
"Magniv restaurant","37 bis Rue du Sentier, 75002 Paris, France","restaurant","Excellent resto israélien !  Cuisine à partager délicieuse ! Je reco ++ 

Info : resto fermé … ","5","À essayer#Ambiance#Authentique#Amis#Carpe diem#Cocktails#Fancy#Excellent#Mediterraneen#Restaurant#Specialites locales",""
"pipelettes du boulevard","Boulevard Poissonnière, 75009 Paris, France","generic","Bar a bonne nouvelle : HH","1","À essayer#Amis#Bar",""
"The Hoxton Paris","30-32 Rue du Sentier, 75002 Paris, France","lodging","Bar très sympa avec de bons cocktails en face du metropole","4.5","À essayer#Ambiance#Authentique#Bar#Cocktails#Fancy",""
"Paula","33 Rue Charles Gille, 37000 Tours, France","cafe","Excellent brunch près de la gare !! ","5","Brunch",""
"Château de l'Aulée","287A Laulée, 37190 Azay-le-Rideau, France","wine","Dégustation de vin de Loire ","4","À essayer#Amis#Wine",""
"Les Affranchis","28 Boulevard Voltaire, 75011 Paris, France","nightclub","Bar à Oberkampf ! Très bonne ambiance ! Service au comptoir ","4","À essayer#Ambiance#Bar",""
"Hallernes Smørrebrød","Kongens Nytorv 13, 1050 Copenhagen K, Denmark","restaurant","Smorrebroad typique d’ici ","3.5","Amis#Authentique#Specialites locales",""
"Conditori La Glace","Skoubogade 3, 1158 København K, Danmark","restaurant","Salon de thé très typique et connu d’ici ! A faire ++","4","À essayer#Authentique#Cafe#Carpe diem#Cadre sympa#Excellent#Salon de the",""
"Lagkagehuset","Frederiksberggade 21, 1459 København K, Danmark","supermarket","Boulangerie avec spécialités danoises ","3.5","Boulangerie#Cafe",""
"Torvehallerne","Frederiksborggade 21, 1360 København K, Danmark","monument","Marche couvert avce plein de choix dont smorrebroad","3.5","À essayer#Ambiance#Authentique#Marche couvert#Excellent",""
"Original Coffee Illum","Østergade 52, 1100 Copenhagen K, Denmark","cafe","Coffee shop en plein centre avec super vue rooftop","4","Amis#Authentique#Cafe",""
"GRUPPOMIMO - Paris 2 ","157 Rue Montmartre, 75002 Paris, France","restaurant","Restaurant italien gruppomimo très sympa et super ambiance ! Penser à réserver ! Emplacement à Grands Boulevards ","4.5","Ambiance#Authentique#Carpe diem#Excellent#Fancy#Italien#Pasta#Pates àla truffe#Pizza#Restaurant",""
"The Long Hop","25 Rue Frédéric Sauton, 75005 Paris, France","generic","Pub anglais idéal pour les matchs de rugby ! Bonne ambiance ","4","Ambiance#Carpe diem#Happy hour#Pub",""
"Chez Gladines","11 bis Rue des Halles, 75001 Paris, France","restaurant","Très bon brunch avec différentes formules aux halles ! Gros point positif : reservable !! On ne peut que recommander ! ","4.5","Brunch",""
"Au Père Louis","38 Rue Monsieur le Prince, 75006 Paris, France","restaurant","Bar à vin près d Odeon ","3.5","À essayer#Bar#Bar à vin",""
"Verlet","256 Rue Saint-Honoré, 75001 Paris, France","restaurant","Salon de thé très bon ! Chocolat chaud ++et pâtisseries","4.5","À essayer#Authentique#Cafe#Salon de the",""
"UNO","37 Rue Berger, 75001 Paris, France","restaurant","Italien sympa à côté des halles ! Polpettes délicieuses ","4.5","À essayer#Ambiance#Amis#Authentique#Italien#Pizza#Restaurant#Pasta",""
"Le Nul Part Ailleurs","3 Rue du Haut-Pavé, 75005 Paris, France","cafe","Bar corse très atypique et avec du caractère ","3.5","À essayer#Ambiance#Amis#Authentique#Bar",""
"Babil","24 Rue de la Huchette, 75005 Paris, France, 75005 Paris, France","generic","Bar à vin très très cool en plein sT Michel ! Recommande +++","5","À essayer#Ambiance#Amis#Authentique#Bar#Wine",""
"Brique Machine - Brique House","161 Rue Montmartre, 75002 Paris, France","beer","Décor arcade avec pizza et hamburger spécialiste de bières ! Pas mal mais sympa juste pour le décor ","2.5","À essayer#Ambiance#Amis#Cadre sympa#Carpe diem#Restaurant#Pizza",""
"Butlers Chocolate Experience","Dublin, County Dublin, 17, Ireland","cafe","Excellente chocolaterie et chocolat chaud divin ","4","À essayer#Ambiance#Cafe",""
"Dunne And Crescenzi","Frederick Street South, Dublin, County Dublin, 2, Ireland, Dublin, County Dublin, 2, Ireland","generic","Restaurant italien à côté de trinity ","4.5","À essayer#Authentique#Carpe diem#Pasta#Restaurant#Wine#Italien",""
"Gravity Bar","Guinness Storehouse, St. James's Gate, Dublin 8, D08 VF8H, Ireland","restaurant","Bar au Guinness storage avec vue panoramique ","4","À essayer#Ambiance#Amis#Bar",""
"Al Vesuvio Restaurant","Temple Bar, Dublin 2, D02 C958, Ireland","restaurant","Restaurant italien en plein cœur du template bar ! Très bon ! Divines pastas dans un quartier sympa ","3.5","À essayer#Ambiance#Amis#Authentique#Pasta#Restaurant",""
"Aqua Restaurant","1 West Pier, Howth, Co. Dublin, D13 H2V4, Ireland","generic","Excellent restaurant de poisson ! Soupe de poisson et fish and chips à tester++

Cadre incroyable sur la baie de Howth : reserver de préférence ","4.5","À essayer#Ambiance#Authentique#Carpe diem#Cadre sympa#Excellent#Fruits de mer#Moules#Lobster#Restaurant#Vue panoramique#Vue mer",""
"The Temple Bar Pub","3 Temple Bar, Dublin, County Dublin, D02 C958, Ireland","fastfood","THE PUB de dublin dans Le célèbre quartier template bar ! Bar très très blindé mais ambiance garantie ","3.5","À essayer#Ambiance#Amis#Bar#Brasserie",""
"The Church Fare","May Lane, Dublin, County Dublin, 7, Ireland","supermarket","Bar dans une ancienne église ! Très stylé et belle ambiance ","4.5","À essayer#Ambiance#Authentique#Bar",""
"Bloom Sushi","99 Rue Jouffroy d'Abbans, 75017 Paris, France","restaurant","Excellent endroit à sushi : végétalien ! ","4","Sushi#Japan",""
"Restaurant A la Traboule","3 Place du Gouvernement, 69005 Lyon, France","restaurant","Street food en mode félicita avec produits locaux de circuit court","3.5","À essayer#Specialites locales#Street food",""
"Fresco Glacier","29 Quai Saint-Antoine, 69002 Lyon, France","restaurant","Bonnes glaces à côté d’hôtel Dieu ","","Glace",""
"The Rambler","7 Rue Pizay, 69001 Lyon, France","bar","Bar /club à cocktails ! Très bonne ambiance et musique ","","À essayer#Ambiance#Carpe diem#Excellent#Cocktails",""
"Bar Le Vieux Château","6 Bis Rue du Président Merville, 37000 Tours, France","generic","Bonne brasserie près de plume ","3.5","À essayer#Ambiance#Brasserie",""
"La Ptite Maiz","53 Place du Grand Marché, 37000 Tours, France","generic","Bar très sympa et bobo ! Bières locales et gin to tourangeaux ","4","À essayer#Ambiance#Amis#Bouillon#Bar",""
"La Clinique Du Street Art","33 Rue Lavoisier, Tours 37000","generic","Lieu haut en couleur ! Dans l’ancienne clinique sT gatien des artistes de street art ont envahi les lieux pour créer un bar tres cosy avec expo ! Ambiance garantie et tres originale","4.5","Ambiance#À essayer#Amis#Authentique#Carpe diem#Street art",""
"La Loutre Bar","46 Rue Jean-Pierre Timbaud, 75011 Paris, France","bar","Très bon bar à cocktail ! Excellent cocktail « anti-inflation » au gin ","4.5","À essayer#Ambiance#Amis#Authentique",""
"Trattoria Carmen","Ul. kneza Damjana Jude 10, 20000, Dubrovnik, Croatie","restaurant","Excellent resto italien ","","À essayer#Ambiance#Amis#Restaurant#Pasta#Italien",""
"Yatai Ramen Chateaudun","17 Rue de Châteaudun, 75009 Paris, France","restaurant","Ramen à la déco sympa !
","","À essayer#Ramen#Authentique",""
"Food Society Paris Gaîté","68 Avenue du Maine, Paris 75014","restaurant","Dans le même mood que la FÉLICITA mais version cuisine du monde ! A deux pas de montpar ! Une belle découverte très sympa","4","Amis#Ambiance#Carpe diem#Fancy#Food truck#Parfait pour l’hiver ou pluie#Street food",""
"Kavana Dubravka","Brsalje ul. 1, 20000, Dubrovnik, Croatie","restaurant","Très bon resto à côté des remparts ","4","À essayer#Authentique#Ambiance#Vue mer#Specialites locales#Pizza#Pasta",""
"Restaurant Levanat","Šetalište Nika i Meda Pucića 15, 20000, Dubrovnik, Croatie","restaurant","Restaurant idéal pour admirer le sunset ! Vue mer exceptionnelle!! La regalade ! ","4","À essayer#Ambiance#Amis#Authentique#Cadre sympa#Cocktails#Carpe diem#Fruits de mer#Pasta#Pates àla truffe#Restaurant#Specialites locales#Vue panoramique#Vue mer",""
"Boccapiena","Ulica od puča 3 20000 Dubrovnik Croatia","generic","Très bon glacier ","4","À essayer#Carpe diem#Glace",""
"Dalmatino Hvar","Sveti Marak 1, 21450, Hvar, Croatie","restaurant","Excellent restaurant sur une place à l’abri des regard ! Service vraiment impeccable ! Un bonheur gustatif ","4.5","À essayer#Ambiance#Authentique#Cadre sympa#Pasta#Restaurant#Specialites locales",""
"Lola Split","Ulica Mile Gojsalić 1 21000 Split Croatia","generic","Excellent resto avec cuisine méditerranéenne !! Vraiment top","4.5","À essayer#Ambiance#Cadre sympa#Excellent#Specialites locales",""
"Palace Judita Heritage Hotel","Narodni trg 4, 21000, Split, Croatia","lodging","Magnifique bar à cocktails ! Cadre idyllique et superbes cocktails ! Tout ce qu’on aime","5","À essayer#Bar à vin#Bar#Carpe diem#Cadre sympa#Cocktails",""
"Calebotta","21220, Gradska ul. 23, 21220, Trogir, Croatie","restaurant","Excellent restaurant
Conseil demander à manger au garden","4.5","À essayer#Ambiance#Amis#Authentique#Restaurant#Poisson#Pates àla truffe#Pasta#Specialites locales",""
"Restaurant Pjat","Stomorica ul. 10, 23000, Zadar, Croatie","restaurant","Restaurant typique mais moins bien que canzona… ","","À essayer#Ambiance#Authentique#Restaurant",""
"Restoran Canzona","Stomorica ul. 8, 23000, Zadar, Croatie","restaurant","Restaurant très bon avec saveurs vénitiennes et dalmatiennes ! Un bonheur gustatif ","4.5","À essayer#Ambiance#Authentique#Cadre sympa#Cocktails#Pates àla truffe#Pasta#Restaurant",""
"Deja Brew Pub Zadar","Borelli ul. 8, 23000, Zadar, Croatie","bar","Bar que je recommande : très local et moins touristique qu ailleurs ","","À essayer#Ambiance#Amis#Authentique#Bar",""
"La Struk","Skalinska ul. 5, 10000, Zagreb, Croatie","restaurant","Spécialités locales dans un endroit très sympa ! Très sympa ","","À essayer#Authentique#Excellent#Pates àla truffe#Specialites locales#Restaurant",""
"Bonita","10000 Zagreb Croatie","generic","Bar très sympa sur une place coool","4","Ambiance#Bar",""
"Gruppomimo-Restaurant Italien","7 Rue de l'Église 92100 Boulogne-Billancourt France","generic","Sympa ! Resto italien ! A réserver ++ ! Super foccacia à la truffe ","4","Restaurant#Cocktails#Carpe diem#Italien",""
"Le Grand Large","Avenue Pasteur Prolongée, 34540 Balaruc-les-Bains, France","restaurant","Excellent restaurant vue sur l’étang de Thau. Restaurant de poissons et coquillages selon l’arrivée de la pêche du matin. Excellent et recommandé pour les amoureux des mets maritimes. ","4.5","À essayer#Ambiance#Excellent#Fruits de mer#Lobster#Restaurant#Poisson#Vue mer#Specialites locales",""
"Carré Mer","Plage de Maguelone, 34750 Villeneuve-lès-Maguelone, France","restaurant","Excellent beach club avec une cuisine raffinée et très bonne ! A réserver++
Au bord de l eau ","4.5","Ambiance#Restaurant#Poisson#Vue mer#Vue panoramique",""
"Les Bons Amis","Place des Bons Amis, 34500 Béziers, France","generic","Restaurant très sympa ","4","À essayer#Ambiance#Amis#Authentique#Cadre sympa#Carpe diem#Fruits de mer#Restaurant",""
"Aïoli","2 Quai Maximin Licciardi, 34200 Sète, France","generic","Bar à tapas très sympa et Good mood ","4.5","Ambiance#À essayer#Bar#Vue mer#Tapas",""
"The 46 Bar","46 Rue René Boulanger, 75010 Paris, France","bar","Bar à cocktails dans le même style que le 36 bar mais en plus grand et sans musique ! Sympa","3.5","Ambiance#Amis#Authentique#Bar#Cocktails",""
"The 38 Bar","38 Rue René Boulanger, 75010 Paris, France, 75010 Paris, France","generic","Bar à cocktail très sympa ! Très chill et cosy et cocktails 👌🏼","3.5","Ambiance#Amis#Authentique#Bar#À essayer#Cadre sympa#Carpe diem#Cocktails",""
"Salento Marais","6 Rue de Jarente, 75004 Paris, France","restaurant","Excellent italien en plein milieu du marais ! Idéal entre amis ou à 2 ! Pâtes succulentes un bonheur ! A côté de la place du marché sT Catherine !! ","4.5","Ambiance#Amis#Authentique#Cadre sympa#Carpe diem#Excellent#Italien#Pasta#Specialites locales#Wine",""
"Aga Mame","53 rue du général Leclerc, 45240 La Ferté-Saint-Aubin, France","restaurant","Brasserie sympathique et pas loin du château ","","Authentique#Brasserie",""
"Au Don Camillo","54 Rue Sainte-Catherine, 45000 Orléans, France","restaurant","Super italien ! Très copieux ! Super pasta à la meule de parmesan !! On adore ","3.5","Ambiance#À essayer#Amis#Pasta#Pates àla truffe#Pizza#Restaurant",""
"Auteuil Brasserie","78 Rue d'Auteuil, Paris 75016","restaurant","Brasserie très sympa avec un rooftop parfait été comme hiver ! Je recommande de réserver ","1","À essayer#Cadre sympa#Pates àla truffe#Pasta#Pizza#Restaurant#Rooftop",""
"Glacier Toscani","4 Rue de la Lanterne, 67000 Strasbourg, France","shopping","Bonnes glaces mais un peu déçue ","3","Carpe diem#Glace",""
"Restaurant L'Oignon","4 Rue des Moulins, 67000 Strasbourg, France","restaurant","Très bon resto de viandes avec les spécialités locales ! Petit coup de coeur pour le Tiger steak et le poulet ! Accompagnement de spaetzle : on adore ","4.5","Ambiance#À essayer#Specialites locales#Restaurant#Viandes",""
"La Binchtub","6 Rue du Tonnelet Rouge, 67000 Strasbourg, France","restaurant","Excellente adresse pour flammekeuche et ambiance !! Excellent accueil ! Très convivial ! Shoot offert service très sympa !! Vins d’Alsace très bons ! 
Recommandations ++ ","5","À essayer#Ambiance#Amis#Specialites locales",""
"Les BerThoM","18 Rue des Tonneliers, 67000 Strasbourg, France","bar","Excellent bar avec différentes bières et super service !!! On adore ","","À essayer#Ambiance#Authentique#Bar",""
"Santagloria","Carrer Costa Fornaguera, 46, 08370 Calella (Barcelone), Espagne","generic","Très bonne bakery avec du cAColac comme on aime ","","Boulangerie",""
"Rocapins","Carretere Nacional 2, Km. 666, 08370 Calella, Barcelona, Spain","restaurant","Beach club tres sympa : excellent cadre mais pas pour manger ","3","Ambiance#Amis#Authentique#Beach club",""
"El Cielo Extremeño","Carrer de l'Església, 135, 08370 Calella, Barcelona, España","restaurant","Excellent bar à vin et avec de très bonnes spécialités locales ! On ne peut que valider 

Petit clin d’œil pour le nom « El Cielo »!
Adresse à faire ++ ","4.5","Ambiance#Bar à vin#Wine#Tapas",""
"Nui Beach Calella","Platja Gran de Calella, 08370 Calella, Barcelona, Espagne","restaurant","Beach club tres sympa avec d’excellents cocktails et délicieux plats ! 

Paella excellente ","4","Beach club#Ambiance#Cocktails#Excellent#Fancy#Poisson#Restaurant",""
"Xiri 9","Passeig Manel Puigvert s/n ( Playa de Calella ), Delante Hotel Espanya, 08370 Calella, Barcelona, Spanje","bar","Beach club : excellentes tapas très copieuses ! Très bon","4","Ambiance#À essayer#Carpe diem#Cocktails#Beach club",""
"PORCUS /TALL c/Riera","Carrer de la Riera, 31, 08370 Calella, Barcelona, Espagne","generic","Excellent bar à vin / sangria avec excellents jambons ibériques ! Un apéro de qualité avec un service excellent ","5","À essayer#Coworking#Bar à vin",""
"La Plage","Sablanceaux, 17940 Rivedoux-Plage, France","restaurant","Très bon restaurant les pieds dans l’eau ! Excellent repas ! Vue sur mer : un plaisir gustatif et des yeux ","4.5","À essayer#Ambiance#Amis#Authentique#Carpe diem#Cocktails#Fruits de mer#Restaurant#Vue mer",""
"Citadelle de Saint-Martin-de-Ré","Cours Vauban, 17410 Saint-Martin-de-Ré, France","monument","Bar pour une soirée on fire ","","À essayer#Ambiance#Bar à vin",""
"O Parloir","20 Cours Vauban, 17410 Saint-Martin-de-Ré, France","restaurant","Restaurant très sympa et très bon repas ! Adresse à faire ++ si île de ré ! The place to be🥰","4.5","Ambiance#Cadre sympa#Cocktails#Excellent#Restaurant",""
"La Cible","Avenue de la Plage, 17410 Saint-Martin-de-Ré, France","restaurant","Bar de plages comme on les aime ! Très mimi ","","Ambiance#Bar",""
"La Martinière","19 Quai de la Poithevinière, 17410 Saint-Martin-de-Ré, France","shopping","THE ice cream :à goûter sans se poser de question ","5","Glace",""
"L'Insolite Restaurant, Bar, Bar à Vin.","11 Cours Bailly des Écotais, 17410 Saint-Martin-de-Ré, France","restaurant","Très bon restaurant avec  un cadre très sympa sur une place très agréable ! On recommande ","","Amis#Ambiance#Authentique#Carpe diem#Excellent#Fruits de mer#Restaurant",""
"Do Re Mie","2 Rue Baron de Chantal, 17410 Saint-Martin-de-Ré, France","lodging","Très bonne boulangerie face au port","4","Boulangerie#Authentique",""
"Le Bastion Restaurant Bar Club","50 Cr Pasteur, 17410 Saint-Martin-de-Ré, France","restaurant","Bar à ambiance / club avec très beau cadre ! Très sympa et hype ! Très bons cocktails ","4","Ambiance#Amis#Bar#Carpe diem#Cocktails",""
"Tripletta Gaité","1 Imp. de la Gaité, 75014 Paris, France","restaurant","Bonne pizzeria impasse de la gaité ! Idéal pour combo bar + pizza ","4","Authentique#À essayer#Italien#Pizza",""
"The Copper Pub","4 Impasse de la Gaité, 75014 Paris, France","restaurant","Très sympa le bar en toute tranquillité ! Très bon cocktails ","4","Ambiance#Amis#Bar",""
"Bistrot 31","31 Avenue Théophile Gautier, 75016 Paris, France","restaurant","Brasserie dans le 16. Très sympa et bon ! A tester si vous cherchez un endroit dans le coin de jasmin","4","Ambiance#Authentique#Brasserie",""
